LAD10CD,N
E08000032,1919
E07000169,167
E06000014,729
E08000019,2416
E06000011,355
E07000168,165
E07000165,172
E08000035,3668
E07000163,64
E07000122,308
E06000002,1084
E06000003,463
E06000004,992
E06000001,880
E07000026,129
E08000023,236
E08000033,331
E08000034,661
E07000028,320
E07000030,34
E08000024,391
E08000036,986
E08000020,499
E06000005,348
E08000021,534
E08000022,260
E06000010,2044
E08000018,1256
E08000017,2368
E07000171,446
E07000033,253
E06000012,442
E06000013,264
E08000016,1250
E07000175,197
E07000176,42
E06000018,951
E07000036,98
E07000173,125
E07000034,549
E07000038,138
E07000170,485
E07000174,951
E06000015,691
E07000032,123
E07000141,102
E07000142,124
E07000139,42
E07000138,638
E06000016,513
E07000130,119
E07000129,40
E08000015,708
E06000007,294
E08000013,654
E08000012,3337
E08000011,253
E08000003,2777
E08000005,709
E08000014,542
E07000125,151
E07000117,470
E08000004,555
E07000037,113
E06000006,144
E07000126,219
E07000118,386
E07000123,810
E08000006,726
E08000010,1062
E08000007,388
E08000009,221
E07000128,212
E08000001,1352
E06000008,749
E07000120,154
E07000228,43
E08000002,458
E06000009,1385
E07000127,74
E08000008,876
E07000119,79
E07000121,509
E07000031,58
E07000027,217
E06000033,239
E07000075,21
E07000146,281
E07000010,132
E07000066,142
E06000034,51
E07000071,118
E06000031,534
E07000206,143
E07000148,432
E07000202,208
E07000205,56
E07000200,45
E07000204,115
E07000008,499
E07000203,21
E07000143,95
E07000144,43
E09000002,163
E07000011,163
E07000073,67
E07000077,25
E07000012,106
E07000096,62
E09000017,128
E07000101,58
E07000099,64
E09000014,158
E09000003,148
E09000019,549
E09000007,749
E09000028,529
E09000010,89
E09000021,159
E09000032,197
E09000027,104
E09000024,74
E07000207,48
E09000029,64
E09000009,259
E09000023,331
E09000011,448
E09000006,147
E09000008,223
E09000026,121
E07000068,10
E09000016,90
E09000022,485
E09000031,155
E09000033,433
E09000005,214
E09000020,233
E09000012,567
E09000025,262
E09000030,426
E09000013,346
E06000024,393
E07000188,164
E07000052,119
E07000189,326
E07000187,107
E07000078,242
E07000079,66
E06000023,2350
E06000027,455
E07000190,223
E07000053,152
E07000043,189
E06000022,314
E07000050,41
E06000028,333
E07000048,28
E06000029,115
E07000049,36
E07000081,552
E07000082,152
E07000083,78
E07000040,48
E07000041,228
E06000026,726
E07000047,18
E06000030,564
E06000025,339
E07000209,60
E09000018,162
E07000217,36
E07000178,399
E06000039,137
E06000040,90
E06000042,330
E07000061,174
E07000065,64
E07000062,332
E07000064,53
E07000092,109
E06000043,936
E07000223,37
E07000007,71
E07000181,46
E07000088,141
E07000087,85
E07000090,143
E06000044,454
E06000037,106
E06000038,270
E07000084,88
E07000094,114
E07000093,40
E07000107,30
E07000153,90
E07000150,59
E07000154,198
E07000155,25
E06000035,519
E09000004,100
E07000226,43
E07000229,71
E07000224,179
E07000225,74
E07000180,59
E07000179,48
E07000177,133
E07000213,80
E07000108,165
E07000112,83
E07000106,185
E07000114,205
E07000116,69
E07000111,38
E07000110,160
E07000115,65
E08000030,595
E08000031,401
E07000222,182
E07000197,80
E07000192,176
E07000196,52
E06000021,797
E07000195,157
E07000039,46
E08000025,1884
E07000220,68
E08000026,378
E06000020,162
E08000027,698
E06000019,325
E07000151,27
E08000028,291
E08000029,75
E07000239,195
E07000234,81
E07000238,169
E07000237,346
E07000235,66
E07000164,71
E07000167,30
E07000029,59
E07000198,50
E07000199,35
E07000219,82
E07000236,81
E07000221,71
E07000172,118
E07000137,99
E07000134,34
E07000069,22
E06000032,177
E07000076,83
E07000140,44
E07000145,183
E07000201,61
E07000149,49
E07000009,70
E07000072,32
E07000070,51
E07000103,62
E09000015,49
E07000046,90
E07000051,15
E07000080,106
E07000044,54
E06000041,49
E07000102,22
E07000211,42
E07000210,36
E07000216,39
E07000063,88
E07000006,11
E07000091,48
E07000152,35
E07000131,37
E07000004,70
E07000113,128
E07000109,29
E07000215,16
E09000001,10
E07000156,58
E07000045,106
E07000098,33
E07000067,25
E07000124,32
E07000191,23
E07000097,32
E07000005,18
E06000036,53
E07000193,125
E07000212,37
E07000214,48
E07000227,42
E07000105,34
E07000147,31
E07000104,44
E07000100,34
E07000133,28
E07000042,38
E06000045,194
E07000194,69
E06000046,62
E07000132,47
E07000135,10
E06000017,10
E07000089,23
E07000035,37
E07000085,53
E07000218,21
E07000074,10
E07000166,10
E07000208,10
E07000095,31
E07000086,32
E07000136,81
E06000052,331
E06000055,131
E06000050,240
E06000051,207
E06000049,320
E06000047,767
E06000054,266
E06000048,409
E06000056,76
