yr,mth,irid,drugs,resp,intestinal,tb,tb_with_planned,urinary,covid
2002,1,273,194,30086,2545,183,306,4387,
2002,2,278,176,20785,2482,145,266,3940,
2002,3,290,191,18675,4120,184,303,4210,
2002,4,266,219,16614,4318,203,344,4424,
2002,5,360,194,17289,3234,212,390,4561,
2002,6,340,203,14856,2038,187,339,4625,
2002,7,302,212,15580,2211,219,398,5146,
2002,8,321,204,12722,2014,192,355,5150,
2002,9,354,212,13164,1934,185,356,4946,
2002,10,333,187,18549,2452,186,366,4969,
2002,11,379,185,22800,2192,170,374,4738,
2002,12,341,148,30987,2231,181,381,4901,
2003,1,366,164,23628,2534,205,416,4834,
2003,2,354,162,20019,3914,162,387,4460,
2003,3,437,199,21294,5273,191,400,4772,
2003,4,395,165,20949,4439,221,416,4872,
2003,5,425,246,16766,2512,222,412,5083,
2003,6,481,201,14904,1947,232,455,5013,
2003,7,455,221,14845,2096,200,462,5739,
2003,8,490,228,12904,2183,198,483,6064,
2003,9,421,179,14983,2156,175,449,5474,
2003,10,458,185,22738,2610,163,436,5642,
2003,11,398,160,30145,2166,185,422,5310,
2003,12,422,162,37620,1727,169,412,5682,
2004,1,443,151,28386,1825,175,387,5554,
2004,2,420,178,20145,2656,169,357,5221,
2004,3,403,179,19731,5092,194,487,5550,
2004,4,368,193,18145,4217,227,545,5905,
2004,5,411,214,17889,3201,236,523,6334,
2004,6,399,198,15394,2409,220,559,6193,
2004,7,354,206,15893,2218,196,525,6437,
2004,8,413,219,13022,2167,184,521,6794,
2004,9,358,192,14026,2145,177,446,6370,
2004,10,367,203,18898,2313,205,388,6616,
2004,11,343,162,24099,2391,196,340,6199,
2004,12,333,189,37295,2876,193,353,6514,
2005,1,316,161,30828,2935,187,322,6127,
2005,2,311,133,24950,4307,174,283,5703,
2005,3,265,144,27194,6461,203,309,6631,
2005,4,372,201,21482,3597,258,420,6722,
2005,5,379,210,21396,2790,249,430,6841,
2005,6,335,216,16965,2453,243,438,7033,
2005,7,344,221,16038,2337,206,408,7316,
2005,8,365,192,15131,2169,238,441,7443,
2005,9,393,171,15823,2281,191,344,7282,
2005,10,370,168,22853,2417,181,329,7434,
2005,11,329,174,26289,2380,181,446,7182,
2005,12,321,157,38501,3028,189,391,7217,
2006,1,335,157,30853,3557,205,429,7351,
2006,2,308,130,26479,4907,198,370,6535,
2006,3,327,170,27361,6712,222,413,7139,
2006,4,378,161,24026,4453,237,447,7133,
2006,5,361,157,21215,3300,251,473,7479,
2006,6,368,160,18156,2804,220,496,7430,
2006,7,312,168,16233,3071,221,474,8129,
2006,8,373,164,13502,2635,184,426,8082,
2006,9,368,150,15781,2530,200,417,7780,
2006,10,368,167,20048,2844,193,412,8245,
2006,11,345,156,23718,3419,194,367,7851,
2006,12,311,149,33907,3509,166,334,7795,
2007,1,317,145,32290,3339,211,431,8009,
2007,2,281,133,31185,3874,183,372,7247,
2007,3,303,164,25278,5939,209,461,7665,
2007,4,302,162,22194,5981,204,448,7749,
2007,5,377,168,21188,4018,207,470,8211,
2007,6,335,195,18767,3070,181,449,8037,
2007,7,354,222,19121,2785,213,444,8245,
2007,8,342,204,15861,2694,209,448,8498,
2007,9,389,175,16566,2723,156,371,8174,
2007,10,337,175,24314,3281,207,439,8423,
2007,11,320,137,30206,3266,170,444,7996,
2007,12,286,148,38299,3586,158,427,8213,
2008,1,348,174,30069,2944,209,512,7949,
2008,2,288,165,23044,4138,194,499,7756,
2008,3,305,162,25470,6529,195,490,8441,
2008,4,296,145,23703,5147,229,565,8527,
2008,5,385,185,21352,3581,215,555,8713,
2008,6,322,200,18886,2848,196,517,8577,
2008,7,354,189,18355,2742,256,595,9236,
2008,8,404,183,15411,2530,167,405,9441,
2008,9,343,142,18077,2614,169,425,8927,
2008,10,352,179,25778,3062,166,446,9252,
2008,11,305,139,35101,3084,165,412,9115,
2008,12,288,129,51012,3269,177,395,9507,
2009,1,308,133,35140,3398,188,424,9223,
2009,2,282,127,24899,4753,187,395,8356,
2009,3,284,153,27096,6645,191,482,9184,
2009,4,301,154,23550,4888,198,403,9521,
2009,5,269,160,21844,3629,214,480,9791,
2009,6,304,171,19765,2851,209,510,9753,
2009,7,318,165,21085,2700,208,531,9946,
2009,8,315,209,17368,2422,185,463,9968,
2009,9,352,182,20219,2571,185,472,9914,
2009,10,286,170,30832,3174,161,398,10331,
2009,11,287,165,33398,3157,160,389,9550,
2009,12,303,163,44677,3284,165,374,10200,
2010,1,259,164,33021,3391,163,343,9675,
2010,2,295,175,26606,5513,171,364,9133,
2010,3,319,213,27979,7967,150,427,9982,
2010,4,323,203,25022,4869,189,450,10147,
2010,5,302,241,24626,3950,203,487,10391,
2010,6,331,177,20654,3093,215,521,10362,
2010,7,312,270,19218,2762,246,524,11066,
2010,8,336,262,17894,2425,218,456,10960,
2010,9,292,219,20937,2415,207,453,10549,
2010,10,321,214,27505,2832,192,433,10852,
2010,11,343,209,33239,3114,177,361,10696,
2010,12,238,163,58382,2927,150,345,10681,
2011,1,249,189,42768,3057,204,373,10988,
2011,2,249,186,30972,4788,192,376,10044,
2011,3,255,205,32748,6879,212,447,10926,
2011,4,229,227,28423,4695,192,432,10810,
2011,5,268,233,22681,3529,221,494,10873,
2011,6,305,225,21527,2792,179,471,11039,
2011,7,309,221,20740,2765,186,501,11279,
2011,8,336,207,18856,2494,173,478,11529,
2011,9,306,195,20810,2580,179,393,11471,
2011,10,270,216,27060,2855,200,369,11401,
2011,11,237,207,32286,2862,153,354,10982,
2011,12,253,201,45374,3193,167,439,11529,
2012,1,292,201,36032,3471,191,433,11566,
2012,2,255,185,37082,5273,182,407,11165,
2012,3,290,219,35387,6225,161,463,11414,
2012,4,256,205,29666,10471,168,456,11648,
2012,5,268,234,30001,9295,196,539,11983,
2012,6,251,227,25667,7982,188,541,12389,
2012,7,318,232,27287,8027,198,605,12611,
2012,8,304,255,20774,7931,198,533,13308,
2012,9,282,229,21990,7895,148,469,12392,
2012,10,257,230,30439,9382,141,562,12650,
2012,11,289,200,39106,10059,126,488,12248,
2012,12,290,211,51550,9914,151,430,12481,
2013,1,273,203,41401,7682,178,539,12307,
2013,2,246,181,35947,9201,137,459,11103,
2013,3,268,225,40039,15668,153,513,12032,
2013,4,296,231,34735,13970,190,600,11896,
2013,5,308,278,29337,10112,193,654,12185,
2013,6,318,314,24793,8058,180,611,11912,
2013,7,375,341,24235,9081,174,610,12577,
2013,8,378,324,20598,8207,161,529,13044,
2013,9,351,296,24159,7808,135,473,12647,
2013,10,332,325,31493,8245,148,444,13007,
2013,11,322,292,36842,8280,129,382,12859,
2013,12,321,299,52600,9090,127,338,13075,
2014,1,322,322,40163,8186,147,403,13454,
2014,2,298,257,36362,7995,110,334,12482,
2014,3,327,337,36913,9797,147,386,13329,
2014,4,370,402,35448,9309,141,365,13443,
2014,5,386,440,32237,9245,158,366,13941,
2014,6,382,459,28331,9043,141,380,13379,
2014,7,376,448,26911,9470,157,399,14165,
2014,8,387,427,22337,8785,122,323,14319,
2014,9,415,451,25404,8914,110,297,13533,
2014,10,407,425,32900,9642,138,304,13938,
2014,11,399,445,42887,8905,114,301,13380,
2014,12,354,362,72704,8432,128,324,13979,
2015,1,362,453,55591,7536,129,338,13287,
2015,2,335,421,42090,8501,116,349,12204,
2015,3,334,467,44102,10294,103,340,13068,
2015,4,395,499,38271,10389,127,286,13159,
2015,5,419,582,34282,10968,145,338,13371,
2015,6,462,551,29357,9804,159,346,13236,
2015,7,456,614,27794,9329,155,286,13674,
2015,8,480,736,25545,8540,132,298,14337,
2015,9,451,563,30303,8026,122,304,13657,
2015,10,455,611,40867,8624,123,354,14256,
2015,11,444,564,50298,8036,120,355,13819,
2015,12,464,540,60440,8124,112,326,14228,
2016,1,450,454,54278,7707,125,351,14738,
2016,2,445,451,52938,8263,112,324,13241,
2016,3,460,475,57276,9697,137,349,14210,
2016,4,429,494,41633,8622,145,370,13685,
2016,5,436,554,40358,9489,164,412,14469,
2016,6,534,577,34562,8955,144,318,14313,
2016,7,556,551,35619,9076,142,340,14918,
2016,8,514,605,27914,9098,129,285,15622,
2016,9,548,457,30377,8970,116,283,15031,
2016,10,526,500,43616,9773,89,253,15143,
2016,11,467,412,55780,10047,126,315,14527,
2016,12,545,446,70511,9915,116,271,14991,
2017,1,480,411,64346,8633,122,277,14722,
2017,2,445,371,48390,9091,92,244,13173,
2017,3,511,458,43895,10855,133,304,13550,
2017,4,524,517,38180,9606,115,255,11280,
2017,5,594,568,37490,9971,122,305,11808,
2017,6,581,573,30650,9101,139,316,11632,
2017,7,602,581,30677,9111,124,293,11753,
2017,8,561,619,29205,8740,119,271,11977,
2017,9,538,531,33998,8689,110,241,11604,
2017,10,526,574,44872,8897,102,214,11764,
2017,11,445,510,55656,8898,108,239,11593,
2017,12,441,400,73531,9376,111,235,11530,
2018,1,501,421,73391,8402,86,234,11599,
2018,2,475,373,57541,7956,93,242,10665,
2018,3,480,421,57236,9095,93,222,12037,
2018,4,560,543,44170,9295,101,223,12187,
2018,5,580,586,40451,10637,143,266,12819,
2018,6,569,588,33780,9800,111,198,12709,
2018,7,608,605,32436,11842,126,288,13607,
2018,8,666,597,28680,10340,107,218,14153,
2018,9,577,548,34973,9090,88,176,13196,
2018,10,620,503,47115,9434,87,176,13467,
2018,11,577,470,59227,9120,82,182,12802,
2018,12,519,484,68272,9536,108,202,13165,
2019,1,554,436,73650,9004,107,223,13242,
2019,2,518,419,62794,8641,91,189,11834,10
2019,3,520,525,52365,10329,113,211,12934,
2019,4,553,551,50119,11382,129,224,13211,
2019,5,591,589,41972,11853,137,229,13286,
2019,6,603,661,37394,10457,127,214,13245,
2019,7,650,651,37023,10781,141,249,13875,10
2019,8,602,609,32970,9887,110,196,14166,
2019,9,608,529,38721,9410,105,173,13306,10
2019,10,620,474,53024,9751,111,210,13213,
2019,11,572,437,66571,9910,89,199,12706,
2019,12,510,398,89825,8996,111,237,12044,10
2020,1,548,457,66418,8610,97,225,12500,11
2020,2,511,408,52255,8231,86,210,11469,117
2020,3,417,347,40721,5884,66,161,8850,19491
2020,4,296,373,17533,3632,84,126,6230,41433
2020,5,420,595,16416,5132,94,155,8578,11107
2020,6,446,709,16891,6026,107,154,9631,3800
2020,7,496,635,17540,6438,114,173,10573,1552
2020,8,421,597,19406,7214,106,149,11085,1146
2020,9,408,523,25473,6278,120,161,10526,4264
2020,10,341,463,23892,5786,88,143,10505,16083
2020,11,373,463,19459,5404,76,127,9745,24505
2020,12,359,446,20372,5366,90,140,9989,34196
2021,1,348,358,16426,4565,84,122,8631,70062
2021,2,395,424,15776,4729,90,144,8990,22547
2021,3,411,575,20186,5947,109,173,10036,6146
2021,4,398,559,22647,6353,118,179,10507,2049
2021,5,438,538,29746,7489,128,194,11532,1430
2021,6,374,499,32378,8638,131,199,11179,3908
2021,7,391,457,35032,8735,102,187,11412,14102
2021,8,360,436,32908,8883,82,155,11043,15612
2021,9,383,370,34578,8426,107,203,10704,13521
2021,10,403,333,44908,8092,93,187,10747,15540
2021,11,334,293,44105,7773,88,203,10003,14071
2021,12,337,298,42899,7809,109,199,9990,16136
