admiMonth,N
Jan 2018,526
Feb 2018,489
Mar 2018,498
Apr 2018,582
Dec 2018,535
Feb 2019,534
May 2018,604
Jun 2018,611
Jan 2019,579
Jul 2018,664
Sep 2018,617
Nov 2018,599
Oct 2018,651
Aug 2018,693
Mar 2019,554
Dec 2019,531
Nov 2019,615
May 2019,614
Jun 2019,629
Apr 2019,582
Jan 2020,576
Mar 2020,449
Oct 2019,647
Jul 2019,689
Feb 2020,544
Aug 2019,642
Sep 2019,646
Jun 2020,790
Nov 2020,593
Dec 2020,479
Jan 2021,597
Sep 2020,564
Jul 2020,764
Feb 2021,616
Aug 2020,606
Mar 2021,777
Apr 2020,497
Oct 2020,499
May 2020,778
Apr 2021,600
May 2021,749
Jun 2021,585
Jul 2021,574
Aug 2021,533
Sep 2021,554
Oct 2021,611
Nov 2021,617
Dec 2021,499
