irid,cocci,m2,m1,invasive
irid,cocci,m2,m1,invasive
irid,cocci,m2,m1,invasive
irid,cocci,m2,m1,invasive
1.21462119932926,1.15234924194129,1.28184982718945,1.42944316729088,1.38351574997436
1.18238439578164,1.13257121701926,1.2676027011114,1.39390248956993,1.30242280646147
1.24658543520538,1.1768425043946,1.29625270764995,1.46975791202968,1.46750538362163
33,11,362,22,39
11,2.975,1,12.975,2
57,363,365,31,364
207,230,194,185,206
192,212,188,177,191
222,243,200,195,221
2002-02-02,2002-01-11,2002-12-28,2002-01-22,2002-02-08
2002-01-11,2002-01-03,2002-01-01,2002-01-13,2002-01-02
2002-02-26,2002-12-29,2002-12-31,2002-01-31,2002-12-30
2002-07-26,2002-08-18,2002-07-13,2002-07-04,2002-07-25
2002-07-11,2002-07-31,2002-07-07,2002-06-26,2002-07-10
2002-08-10,2002-08-31,2002-07-19,2002-07-14,2002-08-09
